ФИО,Желаемая должность,Зарплата,Личная информация,Местоположение,Занятость и график,Общий опыт,Последнее место работы,Обязанности,Ключевые навыки,Обо мне,Образование,Языки,Ссылка
Кандидат,Fullstack-разработчик,Не указано,"Мужчина, 32 года","Балашиха (Московская область) , готов к переезду , готов к командировкам",Не указано,Опыт работы 4 года 9 месяцев,Fullstack-разработчик в Ресторан Бутчер,"Занимался полным циклом разработки и внедрения системы корпоративного обучения на базе PWA, а также системы онлайн бронирования и их распределения. В обязанности входит: - Разработка и обслуживание серверной части приложения - Разработка и поддержка клиентской части веб-приложения - Написание программного кода - Исправление выявленных багов - Проведение регулярного мониторинга работоспособности и производительности программного продукта - Масштабирование серверной инфраструктуры - Формализация и алгоритмизация поставленных задач для дальнейшего написания программного кода - Тестирование баз данных и серверной части веб-приложения - Разработка стратегий для обеспечения отказоустойчивости и масштабируемости систем - Внедрение и поддержка CI/CD процессов в направлении или компании","SOLID, Разработка ПО, Адаптивная верстка, Django Rest Framework, PostgreSQL, Bootstrap, Django Framework, Python, ООП, Redis, Git, CI/CD, JavaScript, Умение разбираться в чужом коде, REST API, Celery, Linux, Nginx, HTML, CSS, Docker, Docker-compose, NAT, Flask, Русский — Родной, Английский — B1 — Средний",Не указано,"Нетология Python , Fullstack - разработчик Python; Нетология Data science , Data scientists; Старооскольский технологический институт (филиал) Национального исследовательского технологическогоуниверситета ""МИСиС"" (Московский институт стали и сплавов), Старый Оскол ММТ , Металлургия чёрных металлов; Спасатетельная подготовка СКК Виктория , Спасатель","Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/8ccb10690007e59d320039ed1f464c4c557344
Кандидат,Программист Delphi,150 000 ₽ на руки,"Мужчина, 32 года","Казань , не готов к переезду , готов к командировкам",Не указано,Опыт работы 12 лет 1 месяц,Fullstack в freelance,"Участие в разных проектах по доработке/разработке ПП, с разной долей вовлечённости.","Работа с базами данных, SQL, Коммуникабельность, Стрессоустойчивость, Нелинейное программирование, Линейное программирование, Математическое программирование, Асинхронное программирование, Отладка программ, Тестирование программ, Написание технической информации, Работа с ""чужим кодом"", ORACLE, InterBase XE3, Paradox, Borland Delphi, Embarcadero Delphi, Многопоточное программирование, Русский — Родной, Английский — B2 — Средне-продвинутый",Не указано,"Казанский государственный энергетический университет, Казань Институт информационных технологий , Прикладная информатика в экономике; Оренбургский Государственный Университет Колледж Электроники и Бизнеса Информационных технологий , Программное обеспечение вычислительной техники и автоматизированных систем","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/9656e417000241ddc00039ed1f344b7378734d
Кандидат,Fullstack-разработчик,Не указано,"Мужчина, 22 года","Королев (Московская область) , готов к переезду (Москва) , готов к командировкам",Не указано,Опыт работы 3 года 4 месяца,Fullstack-разработчик в Фриланс,"Из интересного: -- Сервис розыгрышей NFT О проекте: сервис позволяет пользователям участвовать в розыгрышах NFT, а также устраивать свои - Разместил всю бизнес-логику сервиса на смарт-контрактах в блокчейне TON, что обеспечило полную прозрачность результатов розыгрышей. Разрабатывал на языках Tact и FunC - Выполнял денежные операции на уровне смарт-контрактов - Разработал фронтенд, используя TypeScript + React - Связал фронтенд с блокчейн-бэкендом - Тестировал написанные смарт-контракты -- Админ панель О проекте: небольшая CRM для индивидуального предпринимателя и его отдела продаж, область торговли цифровыми товарами и услугами - Отвечал за составление и согласование ТЗ - Работал в команде с фронтендером, отслеживал выполнение его задач - Применял в архитектуре подходы DDD и CQRS - Работал над безопасностью данных: хеширование паролей пользователей, шифрование данных товара - Стек: C#, ASP.NET, Entity Framework, Dapper, PostgreSQL, Blazor -- Приложение для администрирования обновляемых стикерпаков О проекте: данное приложение позволяет подключать к нему обновляемые стикерпаки и модели для доступа к внешним данным, и администрировать их обновления - Разработал приложение, которое обеспечивает стабильную работу более 10 стикерпаков - Работал с динамической генерацией изображений - Смог достичь большей скорости обновления стикерпаков, что повысило актуальность данных наших стикерпаков на фоне конкурентов - Стек: JavaScript, Node.js, Telegraf",".NET, C, C#, .NET Framework, C++, Entity Framework, MS SQL, LINQ, ADO.NET, Transact-SQL, Windows Forms, JavaScript, Node.js, Git, TypeScript, React, Смарт-контракты, Аналитические способности, Креативность, FunC, Tact, REST API, Docker, PostgreSQL, DDD, Русский — Родной, Английский — B2 — Средне-продвинутый","Fullstack-разработчик, занимаюсь программированием с 14 лет, имею обширный разнообразный опыт разработки: бекенд, фронтенд, блокчейн, микроконтроллеры, нативные приложения. Ценю качественный код и архитектуру. Ищу интересные задачи и стремлюсь к карьерному росту","IT STEP Academy Разработчик ПО , Программист","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/0b18751600064c5efc0039ed1f6741724a4766
Кандидат,Fullstack-разработчик,200 000 ₽ на руки,"Мужчина, 25 лет","Санкт-Петербург , не готов к переезду , готов к редким командировкам",Не указано,Опыт работы 3 года 9 месяцев,Fullstack-разработчик в Институт телекоммуникаций,Разработка различных ГИС,"Python, React, Node.js, TypeScript, Git, Linux, PostgreSQL, Русский — Родной, Английский — B2 — Средне-продвинутый","Занимаюсь fullstack разработкой в основном на PERN (PostgreSQL, Express, React, Node.js). Так же с удовольствием вникаю во все что имеет отношение к проекту. Навыки: - IDEF, BPMN, UML (умею работать с диаграммами) - ERD, PostgreSQL (проектирую БД по нормальным формам, работал с функциями, триггерами и PostGIS); - Node.js (способен адаптировать код под разные версии, работал с NVM); - Python; - REST API, Swagger, Postman (пишу и документирую запросы); - Figma, Photoshop (имею представление как дизайн должен работать в связке с бэкендом); - JS/TS/TSX (пишу типизированный код); - CSS, CSS Modules, Tailwind; - Ant Design, MUI (умею работать с библиотеками компонентов); - Openlayers (имею широкий опыт работы с картами); - Redux, Zustand (работаю со стейт менеджерами); - Git, GitHub, GitLab; - Linux (есть опыт работы с Ubuntu и Astra); - Jenkins (есть понимание основных принципов настройки и работы пайплайна); - Redmine. Опыт коммерческой разработки: - ERP-система для машиностроительного предприятия; - Tg-бот для рассылки сотрудникам задач на день; - ГИС для каталогизации метеорологических измерений; - Библиотека для связи картографической подложки с React; - Клиент для ГИС-сервисов. Академический и личный опыт: - Писал игры на Java (есть понимание ООП); - В институте писал на C/C++ (есть понимание работы с памятью, разрабатывал упрощенную СУБД); - Работал с алгоритмами на Python (наивный Байес, код Рида-Соломона); - Писал игры на движке Godot (бесконечная генерация уровней, симуляция автомобильного трафика); - В клубе робототехники разработал упрощенную библиотеку на Python для обучения детей gamedev'у; - Занимался проектированием системы спортивного информирования в рамках дипломного проекта. Помимо основной специализации программиста имею тягу к инженерии (есть опыт в работе с промышленными контроллерами и CAD) и творчеству (gamedev, 3D-моделирование, видеомонтаж, дизайн).","Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» имени В.И. Ульянова (Ленина), Санкт-Петербург ФЭА , Управление в технических системах; Российский государственный гидрометеорологический университет, Санкт-Петербург ИИСиГТ , Прикладная информатика; Балтийский государственный технический университет ВОЕНМЕХ им. Д.Ф. Устинова, Санкт-Петербург И , Лазерная техника и лазерные технологии","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/ba4c469a00051d1be70039ed1f713453655168
Кандидат,Fullstack-разработчик,Не указано,"Мужчина, 35 лет","Москва , не готов к переезду , готов к командировкам",Не указано,Опыт работы 4 года 10 месяцев,Fullstack-разработчик в ФБУЗ Центр гигиены и эпидемиологии в Запорожской области,"- Написал сайт с нуля на Vue3. Сейчас сайт полностью переписан и обновлён на стек: React, TypeScript, FSD, Express, PostgreSQL, Sequelize, Rest API, Docker, Redis. - Разработал прототип сайта - Занимался адаптивностью - Реализовывал доступность - Занимался SEO - Разработал и написал все страницы и компоненты сайта - Написал админ-панель - Ведение статистики - Оптимизировал работу сервера Стек: React, TypeScript, FSD, Express, PostgreSQL, Sequelize, Rest API, Docker, Redis.","HTML5, CSS, JavaScript, Git, Vue.js, React.js, TypeScript, SCSS/SASS, BEM, Node.js, FSD, Express JS, Next.js, Docker, PostgreSQL, Nest.js, langchain, SolidJS, Русский — Родной, Английский — B2 — Средне-продвинутый","Fullstack-разработчик. Активно занимаюсь разработкой и преподавательской деятельностью. Провожу индивидуальные занятия. Работаю над коммерческими проектами. Получаю удовольствие от разработки и воплощения задумки в осязаемый вид. Люблю изучать новое и применять знания на практике. Стремлюсь к чистому коду и грамотной архитектуре проекта. Стек технологий: HTML, CSS, SCSS, JavaScript, TypeScript, React.js, FSD, Express, Postgres ----- Хобби: * читаю профессиональную, художественную и бизнес литературу * посещаю конференции * слушаю подкасты по теме личной эффективности, критическому мышлению * люблю потратить время на изучение новой библиотеки или технологии ----- Контакты: * тел.: +7-999-608-36-63 * mail: job.alekseysidorov@gmail.com * telegram: @Tararatel","Юго-Западный государственный университет, Курск Экономический факультет , Менеджмент; Юго-Западный государственный университет, Курск Факультет инноваций и управления (ФИУ) , Автомобили и автомобильное хозяйство","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/5705bc8100067574eb0039ed1f47344435596f
Не указано,Не указано,Не указано,"Не указано, Не указано",Не указано,Не указано,Опыт не указан,Не указано,Не указано,Навыки не указаны,Не указано,Не указано,Не указано,https://hh.ru/resume/90eb1e2b00045128c40039ed1f673851493473
Кандидат,Fullstack-разработчик,300 000 ₽ на руки,"Мужчина, 28 лет","Москва , м. Аэропорт , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 6 лет,Fullstack-разработчик в MIRAISOFT,"Разработка проектов на позиции Fullstack-разработчика. Обязанности: проектирование БД, разработка логики и интерфейса, написание тестов и симуляций для игр, помощь менее опытным коллегам, проведение code-review. Разработка панели администратора с аналитикой. Стек: TypeScript, NextJs, Redux, Redux toolkit, Jest, React testing library, expressJS, Redis, MariaDB, Sequelize.","HTML, SQL, JavaScript, Adobe Photoshop, Adobe Illustrator, CSS, CMS Wordpress, Git, Linux, React. JS, Jest, Atlassian Jira, Node.js, Docker, MySQL, PostgreSQL, Redis, Mariadb, TypeScript, Nginx, Express.js, Next.js, Redux, React Testing Library, Русский — Родной, Английский — B1 — Средний","Последние 2 года работаю на позиции Fullstack-разработчика, пишу на TypeScript, 70% задач - Front. Есть опыт в развертывании web-приложений, уверенно владению Linux (Ubuntu, CentOS). Есть опыт разработки мобильного приложения для Android с возможностью воспроизведения аудио-файлов для медитаций, редактирования профиля, подтверждения почты и оплаты подписки. Так же была создана панель администратора (Web-интерфейс на стеке TypeScript, React, Redux, Redux toolkit, jest, React testing library) для добавления аудио-файлов, управления правами доступа пользователей, управление подписками и аналитикой. Web-сервер был разработан на фреймворке NestJs. https://play.google.com/store/apps/details?id=com.tmcouch Интересуюсь сферами Fintech и Blockchain. Постоянно слежу за развитием технологий в сфере IT.","Московский авиационный институт (национальный исследовательский университет), Москва Системы управления, информатика и электроэнергетика , Информационное и программное обеспечение информационных систем; Московский авиационный институт (национальный исследовательский университет), Москва Системы управления, информатика и электроэнергетика , Информационное и программное обеспечение информационных систем","Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/565ba45000075fc2c40039ed1f78756a645247
Кандидат,Fullstack-разработчик,Не указано,"Мужчина, 27 лет","Москва , готов к переезду (Грузия, Другие регионы, Казахстан, Россия) , готов к командировкам",Не указано,Опыт работы 5 лет 8 месяцев,Fullstack-разработчик в HRBox,- Разработка и поддержка клиентской части веб-приложения - Разработка и обслуживание серверной части приложения - Написание программного кода - Исправление выявленных багов - Формализация и алгоритмизация поставленных задач для дальнейшего написания программного кода,"HTML, JavaScript, CSS, Git, Bootstrap, MVC, Vue, PHP, SOLID, Laravel, PostgreSQL, GraphQL, REST API, SQL, API, Vue.js, Java Script, NuxtJS, Frontend, Redis, Linux, Webpack, Docker, MySQL, TypeScript, JSON API, Storybook, Unit Testing, Bash, Русский — Родной, Английский — B2 — Средне-продвинутый","- Более 5 лет опыта работы Fullstack-разработчиком - Хорошо развиты компетенции тех.анализа и оценки задач - Уверенное владение PHP(Laravel) и JS(Vue3/Nuxt) со всеми сопутствующими - Отличное понимание принципов SOLID/KISS/DRY и умение применить их на практике - Легко адаптируюсь к меняющимся условиям - Логическое мышление, аналитический склад ума - Высокий уровень самоорганизации и тайм-менеджмента - Мотивирует возможность разрабатывать сложные инструменты, оптимизировать продукт - Большой опыт работы в аналитических компаниях - В приоритете компании IT-сектора","Московский институт электронной техники, Москва СПИНТЕХ , Программная инженерия; Московский институт электронной техники СПИНТЕХ , Программная инженерия","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/e05e9729000649da600039ed1f785a62666573
Кандидат,Fullstack-разработчик,200 000 ₽ на руки,"Мужчина, 25 лет","Москва , готов к переезду (Алматы, Астана, Вьетнам, Калининград, Китай, Минск, Мурманск, Санкт-Петербург) , не готов к командировкам",Не указано,Опыт работы 3 года 6 месяцев,Fullstack разработчик в ГОБУ Центр информационных технологий Мурманской области,"Основные результаты: Разработал Telegram-бота для Минспорта МО с панелью администратора и REST API. Результат : 1000+ MAU, 100+ локаций. Разработан mini-app в телеграмм для создания заявок по жалобам ТКО с использованием собственного картографического сервера. Разработал веб-сервис для поиска спортивных клубов на карте области. Результат: 250 DAU, а также 150 клубов. Оптимизировал SQL-запросы: скорость обработки данных увеличена в 5 раз. Разработал сервис регистрации посетителей с нагрузкой около 100 человек в день Администрировал и разворачивал проекты на Linux - Разработка и поддержка клиентской части веб-приложения - Рефакторинг программного кода - Написание программного кода - Реализация функциональности и логики программы в соответствии с техническим заданием и архитектурными решениями - Исправление выявленных багов - Оптимизация программного кода - Разработка и обслуживание серверной части приложения - Тестирование баз данных и серверной части веб-приложения - Проведение регулярного мониторинга работоспособности и производительности программного продукта - Формализация и алгоритмизация поставленных задач для дальнейшего написания программного кода","Django Framework, .NET Framework, ASP.NET, MySQL, C#, WPF, SQL, Python, ASP.NET Core, JSON, API, FastAPI, JavaScript, SQLite, PostgreSQL, SOLID, ООП, Clean Architecture, MVVM, Docker, Redis, REST API, .NET Core, Xamarin, Flask, Django Rest Framework, Nginx, Vue, Blazor, Русский — Родной, Английский — B2 — Средне-продвинутый, Японский — A2 — Элементарный","Победитель, финалист хакатонов: 1 место: ЛЦТ 2023. Якутия, трек: сервис для генерации персональных маркетинговых предложений банка 2 место: ФИЦ, трек: семантический делитель текстов Топ 10: ЛЦТ 2024, трек: сервис генерации маркетинговых изображений Финалист: Цифровой прорыв 2024 СФО Люблю изучать все новое, совершенствоваться. Целеустремленный молодой человек Мое портфолио: https://github.com/unnamedAniki/","Мурманский государственный гуманитарный университет, Мурманск Математических и естественных наук , Прикладная математика и информатика (бакалавр прикладной математики и информатики); МКЭиИТ Программирование в компьютерных системах , Программист в компьютерных системах","Русский — Родной, Английский — B2 — Средне-продвинутый, Японский — A2 — Элементарный",https://hh.ru/resume/fed2d039000809849e0039ed1f757a72514935
Кандидат,Fullstack-разработчик,Не указано,"Мужчина, 37 лет","Братск , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 12 лет 10 месяцев,Fullstack-разработчик в Free-lance.ru,"Работаю в 3Dmax, BodyPaint3D, Photoshop, Unity3d. Примеры работ по моделированию и анимации, а также работы в Unity3d: Есть публикации в unity asset store: https://www.assetstore.unity3d.com/en/#!/search/page=1/sortby=popularity/query=publisher:13046 Есть опубликованное приложение под андроид: https://play.google.com/store/apps/developer?id=maungers Так же есть опыт монтажа видео: https://www.youtube.com/watch?v=f_7Q1gRnK9g","JavaScript, Русский — Родной, Английский — A1 — Начальный","Я являюсь ответственным человеком и стремлюсь выполнять работу максимально качественно и в положенный срок. Моя работа и есть моё хобби. Также к хобби могу отнести активный отдых, кино, книги, музыку.","Братский государственный университет, Братск ФПС , менеджер-экономист","Русский — Родной, Английский — A1 — Начальный",https://hh.ru/resume/e87de3cb0001ca314c0039ed1f5a694c424979
Кандидат,"Fullstack, Laravel",50 000 ₽ на руки,"Мужчина, 27 лет","Белгород , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 6 лет 9 месяцев,"Fullstack, middle в Индивидуальное предпринимательство / частная практика / фриланс","- Laravel; - JS, VueJS; - MySQL; - Linux(Debian, Ubuntu); - Git; - Composer;","PHP, MySQL, Laravel, Git, Linux, jQuery, JavaScript, ООП, Русский — Родной, Английский — B2 — Средне-продвинутый",Не указано,"Белгородский университет кооперации, экономики и права, Белгород Прикладная информатика , Прикладная информатика (по областям)","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/e545f51700053b4deb0039ed1f306b3942564c
Кандидат,Fullstack-Developer,Не указано,"Мужчина, 28 лет","Москва , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 3 месяца,Fullstack-разработчик в Azautos– Система автосалона,"Мультиязычная платформа для управления автомобилями (RU/EN/NL/FR). - Технологии: Django REST API, Next.js 15, Tailwind, PostgreSQL, Docker, AWS S3. - Фичи: CRUD для автомобилей, панель дилера, фильтры (бренд, цена, пробег), аналитика просмотров. - Реализована интеграция с Amazon S3 для загрузки фото, Swagger/ReDoc для API. Код: https://github.com/musaev-mansur/auto_project","Python, Django Framework, Flask, Bootstrap, MySQL, Git, Docker, Swagger, Redis, JavaScript, Sass, React, Redux, TypeScript, Axios, Django Rest Framework, PostgreSQL, Redux-thunk, Node.js, Express.js, RabbitMQ, RTK Query, HTML/CSS/SCSS, Русский — Родной, Английский — B2 — Средне-продвинутый","Я являюсь Fullstack-разработчиком с обширным опытом работы. В области Backend-разработки я специализируюсь на Python и имею опыт работы с популярными фреймворками Flask и Django. В Frontend разработке я владею языками JavaScript, React, TypeScript, Redux и Redux Thunk. Мой опыт взаимодействия с API, включая RTK Query, Node.js и Axios. Мое знание баз данных включает MySQL, PostgreSQL и MongoDB Мой английский язык на уровне B2, что облегчает коммуникацию с зарубежными клиентами и командами. Моя универсальность в различных аспектах разработки делает меня готовым к решению разнообразных задач и принести свои знания и опыт в вашу компанию. musaev.it","Грозненский государственный нефтяной институт им. академика М.Д. Миллионщикова, Грозный Геолого-Промысловый , Бурение нефтяных и газовых скважин","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/ec8ccec40003504e380039ed1f56327659494c
Кандидат,Fullstack-разработчик,200 000 ₽ на руки,"Мужчина, 25 лет","Краснодар , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 4 года 7 месяцев,Fullstack-разработчик в NUTS digital-agency,- Разработка и обслуживание серверной части приложения - Разработка и поддержка клиентской части веб-приложения - Исправление выявленных багов,"Исполнительность, Пунктуальность, JavaScript, PHP, Vue.js, Nuxt, Laravel, MySQL, PostgreSQL, Linux, Git, Docker, Русский — Родной, Английский — B1 — Средний","Fullstack-разработчик с 4,5-летним опытом создания и поддержки веб-приложений. В основном работал на стеке PHP (Laravel) и JavaScript (Vue.js/Nuxt.js). Имею успешный опыт полного цикла разработки: от создания фронтенда и бэкенда до настройки серверной инфраструктуры и развертывания. Обладаю широким техническим кругозором, что позволяет быстро осваивать новые инструменты и эффективно решать разнообразные бизнес-задачи. Ищу интересный проект в сильной команде, где смогу принести максимальную пользу и продолжить профессиональный рост. За 4,5 года коммерческой разработки участвовал в более чем 30 проектах. - Разработка интернет-магазинов: Полный цикл: от верстки (ванильный JS, Vue.js) до реализации бэкенда на October/WinterCMS и Laravel, настройки серверов (Docker, Linux) и развертывания. - Создание B2B-кабинетов и CRM: Разработка клиентской части на Nuxt.js и серверной части на Laravel. Опыт работы как в команде (ответственность за отдельные модули), так и полная самостоятельная реализация проектов ""с нуля"". - Корпоративные сайты и лендинги: Верстка по макетам, интеграция с CMS-админками для наполнения контентом, деплой на хостинги и виртуальные серверы. - Проекты на Bitrix: Опыт доработки и поддержки сайтов на 1С-Битрикс. Постоянно расширяю технический кругозор, изучая различные языки программирования и подходы. Опыт ознакомления с низкоуровневым программированием (Ассемблер). Небольшие учебные и личные проекты на разных языках доступны на GitHub: https://github.com/kombarowo Уверен, что хороший разработчик должен уметь эффективно работать с любым инструментом, вопрос лишь во времени на погружение.","Кубанский государственный аграрный университет, Краснодар Прикладная информатика , Информационные системы и технологии","Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/1147d9e90008389d560039ed1f553639694356
Кандидат,Fullstack-разработчик,100 000 ₽ на руки,"Мужчина, 25 лет","Москва , м. Одинцово , не готов к переезду , готов к редким командировкам",Не указано,Опыт работы 5 лет 10 месяцев,Fullstack-разработчик в Cardinal AIO,"Мой собственный продукт по автоматизации покупок. Написан на Rust, Go, Electron JS","JavaScript, Node.js, HTML5, HTML, CSS, CSS3, Sass, React JS, Vue.js, MongoDB, Gulp, webpack, scss, Golang, React, Redux-Saga, Styled Components, ReactJS, Redux, Русский — Родной, Английский — B1 — Средний","Я программист-фрилансер. Уже несколько лет работаю программистом, выполняю заказы с бирж. В данный момент есть желание устроится в фирму, для развития и участия в проектах компании.","Московский финансово-промышленный университет ""Синергия"", Москва Информационные системы и технологии , Прикладная математика и информатика (математик, системный программист); fullstack-разработчик loftschool","Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/5061d56e00056db97c0039ed1f33434263726e
